Neighbourhood ,POP
Agincourt North,30279
Agincourt South-Malvern West,21988
Alderwood,11904
Annex,29177
Banbury-Don Mills,26918
Bathurst Manor,15434
Bay Street Corridor,19348
Bayview Village,17671
Bayview Woods-Steeles,13530
Bedford Park-Nortown,23185
Beechborough-Greenbrook,6488
Bendale,27876
Birchcliffe-Cliffside,21856
Black Creek,22057
Blake-Jones,7763
Briar Hill-Belgravia,14302
Bridle Path-Sunnybrook-York Mills,8713
Broadview North,11563
Brookhaven-Amesbury,17787
Cabbagetown-South St. James Town,12053
Caledonia-Fairbank,9851
Casa Loma,10487
Centennial Scarborough,13093
Church-Yonge Corridor,28349
Clairlea-Birchmount,24770
Clanton Park,14612
Cliffcrest,15703
Corso Italia-Davenport,13743
Danforth,9444
Danforth East York,16712
Don Valley Village,26739
Dorset Park,24363
Dovercourt-Wallace Emerson-Junction,34631
Downsview-Roding-CFB,34659
Dufferin Grove,11449
East End-Danforth,20839
Edenbridge-Humber Valley,14943
Eglinton East,22829
Elms-Old Rexdale,9550
Englemount-Lawrence,22086
Eringate-Centennial-West Deane,18810
Etobicoke West Mall,10927
Flemingdon Park,22168
Forest Hill North,12474
Forest Hill South,10926
Glenfield-Jane Heights,31390
Greenwood-Coxwell,14083
Guildwood,9816
Henry Farm,11333
High Park North,21292
High Park-Swansea,21740
Highland Creek,13097
Hillcrest Village,17656
Humber Heights-Westmount,10583
Humber Summit,12525
Humbermede,15853
Humewood-Cedarvale,14108
Ionview,13091
Islington-City Centre West,38084
Junction Area,14027
Keelesdale-Eglinton West,10638
Kennedy Park,17058
Kensington-Chinatown,18495
Kingsview Village-The Westway,21723
Kingsway South,9170
Lambton Baby Point,7921
L'Amoreaux,44919
Lansing-Westgate,14642
Lawrence Park North,14541
Lawrence Park South,15070
Leaside-Bennington,17011
Little Portugal,12050
Long Branch,9632
Malvern,45086
Maple Leaf,10197
Markland Wood,10436
Milliken,27167
Mimico (includes Humber Bay Shores),26541
Morningside,17587
Moss Park,16306
Mount Dennis,13145
Mount Olive-Silverstone-Jamestown,32788
Mount Pleasant East,15982
Mount Pleasant West,28593
New Toronto,10900
Newtonbrook East,16423
Newtonbrook West,23052
Niagara,21274
North Riverdale,12191
North St. James Town,17832
Oakridge,13497
Oakwood Village,21073
O'Connor-Parkview,18316
Old East York,9118
Palmerston-Little Italy,13746
Parkwoods-Donalda,34617
Pelmo Park-Humberlea,8710
Playter Estates-Danforth,7653
Pleasant View,16144
Princess-Rosethorn,11197
Regent Park,10007
Rexdale-Kipling,10488
Rockcliffe-Smythe,22267
Roncesvalles,15050
Rosedale-Moore Park,20631
Rouge,45912
Runnymede-Bloor West Village,9632
Rustic,9951
Scarborough Village,16609
South Parkdale,21251
South Riverdale,25642
St.Andrew-Windfields,17958
Steeles,25017
Stonegate-Queensway,24691
Tam O'Shanter-Sullivan,27398
Taylor-Massey,15594
The Beaches,21130
Thistletown-Beaumond Heights,10138
Thorncliffe Park,19225
Trinity-Bellwoods,16802
University,7782
Victoria Village,17182
Waterfront Communities-The Island,43361
West Hill,26547
West Humber-Clairville,34100
Westminster-Branson,25446
Weston,18170
Weston-Pelham Park,12010
Wexford/Maryvale,27018
Willowdale East,45041
Willowdale West,15004
Willowridge-Martingrove-Richview,21343
Woburn,53350
Woodbine Corridor,11703
Woodbine-Lumsden,7826
Wychwood,13986
Yonge-Eglinton,10578
Yonge-St.Clair,11652
York University Heights,27713
Yorkdale-Glen Park,14687
