Neighbourhood,  Average income $ (Total income in 2010 of population aged 15 years and over),Percent of Pop Age 18 to 24
Agincourt North,28306,9.775752171
Agincourt South-Malvern West,29079,10.25559396
Alderwood,40376,8.064516129
Annex,72290,12.06429722
Banbury-Don Mills,62498,6.798424846
Bathurst Manor,38422,8.228586238
Bay Street Corridor,56506,18.76162911
Bayview Village,49935,9.026087941
Bayview Woods-Steeles,44023,9.830007391
Bedford Park-Nortown,89227,8.130256631
Beechborough-Greenbrook,30980,9.479038224
Bendale,31007,9.954799828
Birchcliffe-Cliffside,48799,8.167093704
Black Creek,24154,10.65421408
Blake-Jones,40610,8.823908283
Briar Hill-Belgravia,33408,8.42539505
Bridle Path-Sunnybrook-York Mills,213134,10.32939286
Broadview North,37582,7.307792095
Brookhaven-Amesbury,29605,9.613762861
Cabbagetown-South St. James Town,58741,7.632954451
Caledonia-Fairbank,30736,9.339153385
Casa Loma,104884,7.914560885
Centennial Scarborough,49491,10.19628809
Church-Yonge Corridor,46104,15.079897
Clairlea-Birchmount,34237,9.023011708
Clanton Park,45742,8.14399124
Cliffcrest,41386,9.138381201
Corso Italia-Davenport,35411,9.64127192
Danforth,44460,7.888606523
Danforth East York,43619,6.492340833
Don Valley Village,33959,9.218744156
Dorset Park,29198,8.640151049
Dovercourt-Wallace Emerson-Junction,34337,9.716727787
Downsview-Roding-CFB,29635,8.583629072
Dufferin Grove,33973,8.865403092
East End-Danforth,48746,7.342002975
Edenbridge-Humber Valley,63321,8.900488523
Eglinton East,28324,9.264531955
Elms-Old Rexdale,29596,10.05235602
Englemount-Lawrence,44363,8.534818437
Eringate-Centennial-West Deane,43353,9.144072302
Etobicoke West Mall,34153,9.060126293
Flemingdon Park,28422,9.901660051
Forest Hill North,71920,8.738175405
Forest Hill South,122460,10.47958997
Glenfield-Jane Heights,25726,9.652755655
Greenwood-Coxwell,41374,7.846339558
Guildwood,47713,7.436837816
Henry Farm,32617,9.926762552
High Park North,50002,7.725906444
High Park-Swansea,63148,6.34774609
Highland Creek,39918,11.4530045
Hillcrest Village,38449,10.2231536
Humber Heights-Westmount,40658,7.134082963
Humber Summit,27265,9.580838323
Humbermede,27025,9.903488299
Humewood-Cedarvale,52647,9.498157074
Ionview,28412,9.472156443
Islington-City Centre West,46948,8.336834366
Junction Area,39242,8.62622086
Keelesdale-Eglinton West,28919,9.212257943
Kennedy Park,27622,8.734904444
Kensington-Chinatown,31229,17.46417951
Kingsview Village-The Westway,34120,9.298899784
Kingsway South,110927,7.251908397
Lambton Baby Point,69142,7.448554475
L'Amoreaux,28611,9.750884926
Lansing-Westgate,57377,8.810271821
Lawrence Park North,97379,6.67079293
Lawrence Park South,122820,9.654943597
Leaside-Bennington,91183,7.965434131
Little Portugal,38061,8.340248963
Long Branch,42148,8.980481728
Malvern,27892,10.55760103
Maple Leaf,33303,7.845444739
Markland Wood,51983,7.905327712
Milliken,27227,9.993742408
Mimico (includes Humber Bay Shores),52177,6.631249765
Morningside,30034,11.51418662
Moss Park,47075,9.291058506
Mount Dennis,31081,10.11791556
Mount Olive-Silverstone-Jamestown,25072,10.43064536
Mount Pleasant East,76925,6.632461519
Mount Pleasant West,52846,7.991466443
New Toronto,36608,9.495412844
Newtonbrook East,40332,10.68623272
Newtonbrook West,32612,10.12927295
Niagara,61343,7.567923287
North Riverdale,62102,6.890328931
North St. James Town,28048,11.41206819
Oakridge,25013,8.446321405
Oakwood Village,33568,8.067194989
O'Connor-Parkview,38550,8.95392007
Old East York,47728,7.128756306
Palmerston-Little Italy,43767,11.27600757
Parkwoods-Donalda,39337,9.547332236
Pelmo Park-Humberlea,34926,8.897818599
Playter Estates-Danforth,59218,6.925388736
Pleasant View,32568,8.85777998
Princess-Rosethorn,75429,10.44922747
Regent Park,28246,11.29209553
Rexdale-Kipling,32775,8.962623951
Rockcliffe-Smythe,31526,9.161539498
Roncesvalles,44827,6.611295681
Rosedale-Moore Park,137433,7.85226116
Rouge,36687,10.36765987
Runnymede-Bloor West Village,62301,7.111710963
Rustic,28923,8.893578535
Scarborough Village,31337,10.35583118
South Parkdale,30198,8.940755729
South Riverdale,44138,7.897199906
St.Andrew-Windfields,86730,10.55240004
Steeles,28731,10.39293281
Stonegate-Queensway,55143,6.986351302
Tam O'Shanter-Sullivan,30311,8.632016936
Taylor-Massey,28266,8.464794152
The Beaches,81968,7.027922385
Thistletown-Beaumond Heights,31134,9.222726376
Thorncliffe Park,27345,7.802340702
Trinity-Bellwoods,38853,9.552434234
University,43490,20.81727062
Victoria Village,33250,8.002560819
Waterfront Communities-The Island,61595,9.985932059
West Hill,31067,10.18947527
West Humber-Clairville,30289,11.67155425
Westminster-Branson,31799,9.07804763
Weston,32910,9.328563566
Weston-Pelham Park,29769,9.533721898
Wexford/Maryvale,33155,8.845954549
Willowdale East,44669,11.67824871
Willowdale West,43697,9.364169555
Willowridge-Martingrove-Richview,39001,8.831935529
Woburn,29806,10.25304592
Woodbine Corridor,49789,6.964026318
Woodbine-Lumsden,41302,6.77229747
Wychwood,45108,8.222508223
Yonge-Eglinton,76029,8.177349215
Yonge-St.Clair,101019,6.565396498
York University Heights,26759,14.81254285
Yorkdale-Glen Park,34879,8.204534622
